# Logfile created on 2017-02-06 13:39:59 +0100 by logger.rb/56438
I, [2017-02-06T15:18:19.398591 #24111]  INFO -- : (0.000176s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:32:31.925889 #26329]  INFO -- : (0.000031s) CREATE TABLE IF NOT EXISTS `coding_activity_projects_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:32:31.926120 #26329]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_ratings_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `goals` Text, `difficulties` Text, `unexpected` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:32:31.926332 #26329]  INFO -- : (0.000029s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:32:31.927296 #26329]  INFO -- : (0.000336s) PRAGMA table_info('coding_activity_contexts_polls')
I, [2017-02-06T16:32:31.928456 #26329]  INFO -- : (0.000152s) PRAGMA table_info('coding_activity_teacher_skills_polls')
I, [2017-02-06T16:32:31.929395 #26329]  INFO -- : (0.000170s) PRAGMA table_info('coding_activity_projects_polls')
I, [2017-02-06T16:32:31.930390 #26329]  INFO -- : (0.000147s) PRAGMA table_info('coding_activity_ratings_polls')
I, [2017-02-06T16:32:31.931331 #26329]  INFO -- : (0.000129s) PRAGMA table_info('coding_activity_futures_polls')
I, [2017-02-06T16:32:34.972377 #26329]  INFO -- : (0.000353s) SELECT * FROM `coding_activity_contexts_polls`
I, [2017-02-06T16:32:34.973315 #26329]  INFO -- : (0.000223s) SELECT * FROM `coding_activity_teacher_skills_polls` WHERE (`coding_activity_teacher_skills_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:32:34.974025 #26329]  INFO -- : (0.000215s) SELECT * FROM `coding_activity_projects_polls` WHERE (`coding_activity_projects_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:32:34.974650 #26329]  INFO -- : (0.000197s) SELECT * FROM `coding_activity_ratings_polls` WHERE (`coding_activity_ratings_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:32:34.975300 #26329]  INFO -- : (0.000190s) SELECT * FROM `coding_activity_futures_polls` WHERE (`coding_activity_futures_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:33:28.748752 #26350]  INFO -- : (0.000218s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:33:28.748853 #26350]  INFO -- : (0.000018s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T16:33:28.748979 #26350]  INFO -- : (0.000078s) SELECT sqlite_version()
I, [2017-02-06T16:33:28.749363 #26350]  INFO -- : (0.000036s) CREATE TABLE IF NOT EXISTS `coding_activity_contexts_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:33:28.749653 #26350]  INFO -- : (0.000034s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:33:28.749933 #26350]  INFO -- : (0.000032s) CREATE TABLE IF NOT EXISTS `coding_activity_projects_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:33:28.750162 #26350]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_ratings_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `goals` Text, `difficulties` Text, `unexpected` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:33:28.750378 #26350]  INFO -- : (0.000031s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:33:28.751580 #26350]  INFO -- : (0.000467s) PRAGMA table_info('coding_activity_contexts_polls')
I, [2017-02-06T16:33:28.752836 #26350]  INFO -- : (0.000164s) PRAGMA table_info('coding_activity_teacher_skills_polls')
I, [2017-02-06T16:33:28.753845 #26350]  INFO -- : (0.000185s) PRAGMA table_info('coding_activity_projects_polls')
I, [2017-02-06T16:33:28.754854 #26350]  INFO -- : (0.000161s) PRAGMA table_info('coding_activity_ratings_polls')
I, [2017-02-06T16:33:28.755766 #26350]  INFO -- : (0.000136s) PRAGMA table_info('coding_activity_futures_polls')
I, [2017-02-06T16:33:30.422383 #26350]  INFO -- : (0.000203s) SELECT * FROM `coding_activity_contexts_polls`
I, [2017-02-06T16:33:30.422912 #26350]  INFO -- : (0.000109s) SELECT * FROM `coding_activity_teacher_skills_polls` WHERE (`coding_activity_teacher_skills_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:33:30.423288 #26350]  INFO -- : (0.000105s) SELECT * FROM `coding_activity_projects_polls` WHERE (`coding_activity_projects_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:33:30.423624 #26350]  INFO -- : (0.000103s) SELECT * FROM `coding_activity_ratings_polls` WHERE (`coding_activity_ratings_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:33:30.423971 #26350]  INFO -- : (0.000102s) SELECT * FROM `coding_activity_futures_polls` WHERE (`coding_activity_futures_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:33:54.600163 #26365]  INFO -- : (0.000323s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:33:54.600265 #26365]  INFO -- : (0.000020s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T16:33:54.600395 #26365]  INFO -- : (0.000079s) SELECT sqlite_version()
I, [2017-02-06T16:33:54.600794 #26365]  INFO -- : (0.000039s) CREATE TABLE IF NOT EXISTS `coding_activity_contexts_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:33:54.601091 #26365]  INFO -- : (0.000033s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:33:54.601390 #26365]  INFO -- : (0.000043s) CREATE TABLE IF NOT EXISTS `coding_activity_projects_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:33:54.601641 #26365]  INFO -- : (0.000031s) CREATE TABLE IF NOT EXISTS `coding_activity_ratings_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `goals` Text, `difficulties` Text, `unexpected` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:33:54.601861 #26365]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:33:54.602923 #26365]  INFO -- : (0.000360s) PRAGMA table_info('coding_activity_contexts_polls')
I, [2017-02-06T16:33:54.604720 #26365]  INFO -- : (0.000278s) PRAGMA table_info('coding_activity_teacher_skills_polls')
I, [2017-02-06T16:33:54.605939 #26365]  INFO -- : (0.000315s) PRAGMA table_info('coding_activity_projects_polls')
I, [2017-02-06T16:33:54.607352 #26365]  INFO -- : (0.000163s) PRAGMA table_info('coding_activity_ratings_polls')
I, [2017-02-06T16:33:54.608317 #26365]  INFO -- : (0.000142s) PRAGMA table_info('coding_activity_futures_polls')
I, [2017-02-06T16:34:00.060384 #26365]  INFO -- : (0.000194s) SELECT * FROM `coding_activity_contexts_polls`
I, [2017-02-06T16:34:00.060888 #26365]  INFO -- : (0.000110s) SELECT * FROM `coding_activity_teacher_skills_polls` WHERE (`coding_activity_teacher_skills_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:34:00.061267 #26365]  INFO -- : (0.000132s) SELECT * FROM `coding_activity_projects_polls` WHERE (`coding_activity_projects_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:34:00.061585 #26365]  INFO -- : (0.000097s) SELECT * FROM `coding_activity_ratings_polls` WHERE (`coding_activity_ratings_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:34:00.061909 #26365]  INFO -- : (0.000098s) SELECT * FROM `coding_activity_futures_polls` WHERE (`coding_activity_futures_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:35:10.617253 #26365]  INFO -- : (0.000425s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:35:10.617402 #26365]  INFO -- : (0.000021s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T16:35:10.617776 #26365]  INFO -- : (0.000272s) SELECT * FROM `coding_activity_contexts_polls`
I, [2017-02-06T16:35:10.618239 #26365]  INFO -- : (0.000223s) SELECT * FROM `coding_activity_teacher_skills_polls` WHERE (`coding_activity_teacher_skills_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:35:10.618682 #26365]  INFO -- : (0.000211s) SELECT * FROM `coding_activity_projects_polls` WHERE (`coding_activity_projects_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:35:10.619114 #26365]  INFO -- : (0.000209s) SELECT * FROM `coding_activity_ratings_polls` WHERE (`coding_activity_ratings_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:35:10.619494 #26365]  INFO -- : (0.000200s) SELECT * FROM `coding_activity_futures_polls` WHERE (`coding_activity_futures_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:36:38.100768 #26456]  INFO -- : (0.000311s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:36:38.100868 #26456]  INFO -- : (0.000018s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T16:36:38.100993 #26456]  INFO -- : (0.000079s) SELECT sqlite_version()
I, [2017-02-06T16:36:38.101345 #26456]  INFO -- : (0.000034s) CREATE TABLE IF NOT EXISTS `coding_activity_contexts_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:36:38.101611 #26456]  INFO -- : (0.000031s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:36:38.101864 #26456]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_projects_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:36:38.102083 #26456]  INFO -- : (0.000029s) CREATE TABLE IF NOT EXISTS `coding_activity_ratings_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `goals` Text, `difficulties` Text, `unexpected` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:36:38.102287 #26456]  INFO -- : (0.000028s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:36:38.103242 #26456]  INFO -- : (0.000293s) PRAGMA table_info('coding_activity_contexts_polls')
I, [2017-02-06T16:36:38.104398 #26456]  INFO -- : (0.000152s) PRAGMA table_info('coding_activity_teacher_skills_polls')
I, [2017-02-06T16:36:38.105338 #26456]  INFO -- : (0.000168s) PRAGMA table_info('coding_activity_projects_polls')
I, [2017-02-06T16:36:38.106283 #26456]  INFO -- : (0.000147s) PRAGMA table_info('coding_activity_ratings_polls')
I, [2017-02-06T16:36:38.107182 #26456]  INFO -- : (0.000132s) PRAGMA table_info('coding_activity_futures_polls')
I, [2017-02-06T16:36:41.623464 #26456]  INFO -- : (0.000351s) SELECT * FROM `coding_activity_contexts_polls`
I, [2017-02-06T16:36:41.624408 #26456]  INFO -- : (0.000252s) SELECT * FROM `coding_activity_teacher_skills_polls` WHERE (`coding_activity_teacher_skills_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:36:41.625114 #26456]  INFO -- : (0.000227s) SELECT * FROM `coding_activity_projects_polls` WHERE (`coding_activity_projects_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:36:41.625777 #26456]  INFO -- : (0.000205s) SELECT * FROM `coding_activity_ratings_polls` WHERE (`coding_activity_ratings_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:36:41.626422 #26456]  INFO -- : (0.000197s) SELECT * FROM `coding_activity_futures_polls` WHERE (`coding_activity_futures_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:37:23.084459 #26456]  INFO -- : (0.000485s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:37:23.084651 #26456]  INFO -- : (0.000044s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T16:37:23.085075 #26456]  INFO -- : (0.000307s) SELECT * FROM `coding_activity_contexts_polls`
I, [2017-02-06T16:37:23.085560 #26456]  INFO -- : (0.000251s) SELECT * FROM `coding_activity_teacher_skills_polls` WHERE (`coding_activity_teacher_skills_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:37:23.086041 #26456]  INFO -- : (0.000258s) SELECT * FROM `coding_activity_projects_polls` WHERE (`coding_activity_projects_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:37:23.086484 #26456]  INFO -- : (0.000261s) SELECT * FROM `coding_activity_ratings_polls` WHERE (`coding_activity_ratings_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:37:23.086930 #26456]  INFO -- : (0.000270s) SELECT * FROM `coding_activity_futures_polls` WHERE (`coding_activity_futures_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:37:55.197985 #26456]  INFO -- : (0.000402s) SELECT * FROM `coding_activity_contexts_polls`
I, [2017-02-06T16:37:55.198525 #26456]  INFO -- : (0.000257s) SELECT * FROM `coding_activity_teacher_skills_polls` WHERE (`coding_activity_teacher_skills_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:37:55.199018 #26456]  INFO -- : (0.000257s) SELECT * FROM `coding_activity_projects_polls` WHERE (`coding_activity_projects_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:37:55.199424 #26456]  INFO -- : (0.000231s) SELECT * FROM `coding_activity_ratings_polls` WHERE (`coding_activity_ratings_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:37:55.199790 #26456]  INFO -- : (0.000200s) SELECT * FROM `coding_activity_futures_polls` WHERE (`coding_activity_futures_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:38:33.582603 #26534]  INFO -- : (0.000313s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:38:33.582732 #26534]  INFO -- : (0.000027s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T16:38:33.582864 #26534]  INFO -- : (0.000074s) SELECT sqlite_version()
I, [2017-02-06T16:38:33.583232 #26534]  INFO -- : (0.000044s) CREATE TABLE IF NOT EXISTS `coding_activity_contexts_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:38:33.583486 #26534]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:38:33.583745 #26534]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_projects_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:38:33.583986 #26534]  INFO -- : (0.000032s) CREATE TABLE IF NOT EXISTS `coding_activity_ratings_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `goals` Text, `difficulties` Text, `unexpected` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:38:33.584197 #26534]  INFO -- : (0.000032s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:38:33.585130 #26534]  INFO -- : (0.000300s) PRAGMA table_info('coding_activity_contexts_polls')
I, [2017-02-06T16:38:33.586325 #26534]  INFO -- : (0.000167s) PRAGMA table_info('coding_activity_teacher_skills_polls')
I, [2017-02-06T16:38:33.587305 #26534]  INFO -- : (0.000176s) PRAGMA table_info('coding_activity_projects_polls')
I, [2017-02-06T16:38:33.588289 #26534]  INFO -- : (0.000153s) PRAGMA table_info('coding_activity_ratings_polls')
I, [2017-02-06T16:38:33.589181 #26534]  INFO -- : (0.000131s) PRAGMA table_info('coding_activity_futures_polls')
I, [2017-02-06T16:38:36.181691 #26534]  INFO -- : (0.000191s) SELECT * FROM `coding_activity_contexts_polls`
I, [2017-02-06T16:38:36.182191 #26534]  INFO -- : (0.000107s) SELECT * FROM `coding_activity_teacher_skills_polls` WHERE (`coding_activity_teacher_skills_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:38:36.182564 #26534]  INFO -- : (0.000107s) SELECT * FROM `coding_activity_projects_polls` WHERE (`coding_activity_projects_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:38:36.182922 #26534]  INFO -- : (0.000096s) SELECT * FROM `coding_activity_ratings_polls` WHERE (`coding_activity_ratings_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:38:36.183250 #26534]  INFO -- : (0.000093s) SELECT * FROM `coding_activity_futures_polls` WHERE (`coding_activity_futures_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:39:03.814763 #26607]  INFO -- : (0.000332s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:39:03.814865 #26607]  INFO -- : (0.000018s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T16:39:03.814990 #26607]  INFO -- : (0.000078s) SELECT sqlite_version()
I, [2017-02-06T16:39:03.815348 #26607]  INFO -- : (0.000035s) CREATE TABLE IF NOT EXISTS `coding_activity_contexts_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:39:03.815635 #26607]  INFO -- : (0.000032s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:39:03.815889 #26607]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_projects_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:39:03.816114 #26607]  INFO -- : (0.000029s) CREATE TABLE IF NOT EXISTS `coding_activity_ratings_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `goals` Text, `difficulties` Text, `unexpected` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:39:03.816310 #26607]  INFO -- : (0.000027s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:39:03.817250 #26607]  INFO -- : (0.000327s) PRAGMA table_info('coding_activity_contexts_polls')
I, [2017-02-06T16:39:03.818520 #26607]  INFO -- : (0.000161s) PRAGMA table_info('coding_activity_teacher_skills_polls')
I, [2017-02-06T16:39:03.819591 #26607]  INFO -- : (0.000187s) PRAGMA table_info('coding_activity_projects_polls')
I, [2017-02-06T16:39:03.820575 #26607]  INFO -- : (0.000150s) PRAGMA table_info('coding_activity_ratings_polls')
I, [2017-02-06T16:39:03.821475 #26607]  INFO -- : (0.000140s) PRAGMA table_info('coding_activity_futures_polls')
I, [2017-02-06T16:39:04.884909 #26607]  INFO -- : (0.000200s) SELECT * FROM `coding_activity_contexts_polls`
I, [2017-02-06T16:39:04.885427 #26607]  INFO -- : (0.000134s) SELECT * FROM `coding_activity_teacher_skills_polls` WHERE (`coding_activity_teacher_skills_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:39:04.885783 #26607]  INFO -- : (0.000112s) SELECT * FROM `coding_activity_projects_polls` WHERE (`coding_activity_projects_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:39:04.886104 #26607]  INFO -- : (0.000100s) SELECT * FROM `coding_activity_ratings_polls` WHERE (`coding_activity_ratings_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:39:04.886430 #26607]  INFO -- : (0.000097s) SELECT * FROM `coding_activity_futures_polls` WHERE (`coding_activity_futures_polls`.`context_id` = 1) LIMIT 1
I, [2017-02-06T16:39:57.737096 #26634]  INFO -- : (0.000309s) PRAGMA foreign_keys = 1
I, [2017-02-06T16:39:57.737202 #26634]  INFO -- : (0.000018s) PRAGMA case_sensitive_like = 1
I, [2017-02-06T16:39:57.737325 #26634]  INFO -- : (0.000074s) SELECT sqlite_version()
I, [2017-02-06T16:39:57.737678 #26634]  INFO -- : (0.000035s) CREATE TABLE IF NOT EXISTS `coding_activity_contexts_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `province` varchar(255), `school` varchar(255), `class` varchar(255), `average_age` double precision, `males` integer, `females` integer, `date_begin` Datetime, `date_end` Datetime, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:39:57.737935 #26634]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_teacher_skills_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `age` integer, `sex` char(1), `role` varchar(255), `knowledge` Text, `training` Text, `groups` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:39:57.738200 #26634]  INFO -- : (0.000030s) CREATE TABLE IF NOT EXISTS `coding_activity_projects_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_poll`, `goal` Text, `estimated_time_in_days` integer, `date_begin` Datetime, `date_end` Datetime, `activity` Text, `environments` Text, `monitorings` Text, `best_practices` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:39:57.738414 #26634]  INFO -- : (0.000028s) CREATE TABLE IF NOT EXISTS `coding_activity_ratings_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `goals` Text, `difficulties` Text, `unexpected` Text, `comments` Text, `comments_teacher` Text, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:39:57.738619 #26634]  INFO -- : (0.000029s) CREATE TABLE IF NOT EXISTS `coding_activity_futures_polls` (`id` integer NOT NULL PRIMARY KEY AUTOINCREMENT, `context_id` integer REFERENCES `coding_activity_contexts_polls`, `activities` boolean, `products_reuse` boolean, `sharing` boolean, `created_on` Datetime, `updated_on` Datetime)
I, [2017-02-06T16:39:57.739521 #26634]  INFO -- : (0.000290s) PRAGMA table_info('coding_activity_contexts_polls')
I, [2017-02-06T16:39:57.740685 #26634]  INFO -- : (0.000160s) PRAGMA table_info('coding_activity_teacher_skills_polls')
I, [2017-02-06T16:39:57.741705 #26634]  INFO -- : (0.000179s) PRAGMA table_info('coding_activity_projects_polls')
I, [2017-02-06T16:39:57.742776 #26634]  INFO -- : (0.000181s) PRAGMA table_info('coding_activity_ratings_polls')
I, [2017-02-06T16:39:57.743677 #26634]  INFO -- : (0.000129s) PRAGMA table_info('coding_activity_futures_polls')
I, [2017-02-06T16:40:27.564953 #26634]  INFO -- : (0.000453s) SELECT * FROM `coding_activity_contexts_polls`
